feasible,onboard_count,lat,lon,pickup_1_lat,pickup_1_lon,pickup_1_maxtime,dropoff_1_lat,dropoff_1_lon,dropoff_1_maxtime,pickup_2_lat,pickup_2_lon,pickup_2_maxtime,dropoff_2_lat,dropoff_2_lon,dropoff_2_maxtime,pickup_3_lat,pickup_3_lon,pickup_3_maxtime,dropoff_3_lat,dropoff_3_lon,dropoff_3_maxtime
false,0,50026414,14492197,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50030801,14499329,228,50093052,14443520,1379,50026414,14492197,229,50089638,14432454,1414
true,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50030801,14499329,228,50093052,14443520,1379,50036668,14504765,238,50086286,14456608,1175
true,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453
true,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089638,14432454,1414
false,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50075414,14433372,1221,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414
false,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50089834,14425895,1453,50026994,14499856,231,50084796,14419926,1470
false,0,50027242,14493074,50029406,14494622,186,50072000,14463575,939,50026414,14492197,229,50089638,14432454,1414,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50022516,14494846,214,50076575,14415234,1407,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50042659,14448888,746
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50042659,14448888,746
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089834,14425895,1453,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746
false,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50089638,14432454,1414,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50075414,14433372,1221,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
true,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414,50026414,14492197,229,50042659,14448888,746
false,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50089638,14432454,1414,50026994,14499856,231,50084796,14419926,1470
false,0,50027242,14493074,50026414,14492197,229,50089834,14425895,1453,50026414,14492197,229,50042659,14448888,746,50026994,14499856,231,50084796,14419926,1470
